1000000,1000
361737,360737
958560,958561
238084,239084
3051,3050
764994,764995
494902,494901
711276,712276
198973,199973
464642,464641
650843,650842
963683,963684
450334,451334
831062,830062
412075,412076
10110,9110
93431,92431
736832,735832
196358,196357
843192,843193
122452,121452
75524,75525
183309,183310
961358,961359
614640,614641
440783,440784
53130,53131
932410,931410
534824,535824
486981,486982
263212,264212
233993,232993
943954,943955
700070,701070
223343,223342
513243,514243
482087,482088
435484,436484
442138,442139
710455,710454
373723,374723
813795,812795
272354,272355
917896,916896
403598,404598
740757,740756
416684,417684
862840,861840
761306,762306
645777,645778
393584,392584
428776,428775
481484,481485
159943,158943
823737,824737
805577,805576
525424,525425
837603,838603
429512,430512
705242,706242
390406,390407
747348,748348
247705,247706
199742,199741
87889,88889
473528,472528
408829,408828
871865,870865
113613,112613
604454,603454
653222,653221
347335,347336
755008,754008
151959,150959
894465,893465
21529,21528
842601,842602
506609,506608
883134,883135
495469,494469
317397,316397
499314,500314
588779,588780
240648,241648
671889,672889
658229,657229
894590,894591
975059,974059
432634,433634
424292,423292
885425,885424
153488,152488
541680,542680
110587,111587
978312,979312
830519,831519
462377,463377
714549,713549
913838,914838
733297,732297
545314,544314
939477,940477
904317,903317
224816,224815
406319,407319
173010,173009
498013,499013
929001,929002
964788,963788
654368,654367
756611,756612
730479,730480
327916,327917
24855,24856
626971,627971
84205,85205
403430,403431
508098,507098
465793,464793
856896,857896
927632,928632
424839,424838
706088,706089
14959,14958
797292,797293
933806,934806
304029,304028
653960,653959
373407,373408
324303,323303
215718,214718
998552,998553
67624,67623
337884,337885
623556,623555
691334,690334
387886,387885
173768,173767
787096,788096
740428,740427
304498,303498
506131,506130
204066,204065
3539,4539
146659,146658
654964,654963
753764,753765
867690,866690
759440,759441
876322,876321
583333,582333
328228,327228
929848,930848
388862,389862
972305,972306
975947,976947
361597,360597
174816,174817
985406,984406
442692,441692
438007,438008
500220,499220
812105,811105
760897,760896
411429,411430
355825,355826
36767,36766
425692,425693
648895,648894
541934,542934
152,153
568791,567791
909991,909992
118401,118402
987453,988453
525421,524421
172989,173989
941886,940886
144682,145682
566804,566805
178705,177705
893640,893641
820559,820560
6866,6865
190452,190453
529727,528727
598544,598545
835769,834769
380903,381903
499206,499207
629132,629133
196097,197097
834933,833933
412911,412912
453179,452179
669056,670056
676637,676636
40774,40773
657905,658905
79816,80816
388775,389775
638007,638008
963327,964327
60893,60892
210711,211711
415324,415325
493240,493241
777233,776233
79743,78743
608743,607743
341201,342201
836734,836735
988207,989207
147688,146688
888482,888481
110624,109624
757384,757383
876604,876605
869769,869768
757644,757645
599919,599920
969875,969874
149806,150806
875345,875344
206877,206878
808924,807924
20704,19704
677930,677929
610194,610195
811215,811214
421982,421981
982876,983876
218025,218024
362070,362071
226099,225099
293810,293809
447431,447432
997337,996337
29176,29175
113491,112491
276141,276142
913829,912829
40957,40956
275069,276069
90798,89798
773880,773881
981507,982507
118112,118113
71226,71225
982315,982316
94944,94943
406233,406234
902936,902937
831932,832932
369861,369862
117193,118193
890610,890611
444663,444662
861084,861083
772050,773050
302410,303410
674369,674370
646347,645347
419694,419693
886219,887219
212673,212674
570006,571006
174187,174186
727226,727227
628652,627652
613793,612793
796615,797615
275211,276211
847787,847786
343698,344698
299428,300428
942096,942097
559018,559017
534997,534998
489192,488192
407948,406948
994175,993175
890105,890106
269619,269620
481574,480574
200181,199181
532216,532217
766462,766461
635129,635130
995189,995190
699796,700796
305485,304485
847176,848176
203664,203665
634460,634459
68624,68623
711439,711440
965163,966163
468814,468813
663964,662964
739444,740444
302024,303024
196694,197694
753728,753727
877981,878981
964013,964014
286005,287005
61511,62511
976667,976668
159219,160219
849085,848085
834058,833058
116035,117035
633452,634452
865528,865527
998767,998766
403614,403613
907378,906378
467433,466433
387266,387265
876662,876661
212425,212424
428074,429074
216366,217366
969553,970553
141680,142680
140724,139724
948311,947311
642298,642297
874825,873825
568957,567957
25303,24303
612858,612857
596834,595834
757116,757117
52308,53308
262182,263182
41951,42951
864456,863456
590331,591331
741650,742650
43142,44142
575262,575261
462107,462106
553315,552315
766759,767759
655041,654041
316960,316961
226626,226627
287782,288782
288060,288061
141994,141993
854509,854508
140006,140007
569091,569092
727049,728049
519143,518143
730132,730133
797944,798944
942168,942169
505040,504040
983117,982117
88713,89713
924659,925659
270287,269287
98093,97093
316918,316919
196246,197246
240555,240554
998069,999069
896624,897624
971859,971858
316153,317153
386008,386007
454749,454750
510255,510256
399920,399919
755234,756234
251320,252320
430362,429362
45400,44400
637830,638830
508566,507566
518218,518217
283745,284745
995778,995777
165443,166443
631475,631474
963536,963537
377905,377906
700171,700172
544293,544292
817812,818812
981421,982421
74133,73133
39681,39680
87927,88927
945246,946246
479017,478017
238873,238872
685296,685295
949860,949861
206993,206992
176099,177099
150677,150678
623517,622517
566814,566813
451034,450034
154605,154606
846611,847611
